"congress","start_date","chamber","state_abbrev","party_code","bioname","bioguide_id","birthday","cmltv_cong","cmltv_chamber","age_days","age_years","generation"
108,"2003-01-03","House","HI",100,"ABERCROMBIE, Neil","A000014","1938-06-26",8,8,23567,64.5229295003422,"Silent"
109,"2005-01-03","House","HI",100,"ABERCROMBIE, Neil","A000014","1938-06-26",9,9,24298,66.5242984257358,"Silent"
110,"2007-01-03","House","HI",100,"ABERCROMBIE, Neil","A000014","1938-06-26",10,10,25028,68.5229295003422,"Silent"
111,"2009-01-03","House","HI",100,"ABERCROMBIE, Neil","A000014","1938-06-26",11,11,25759,70.5242984257358,"Silent"
108,"2003-01-03","House","NY",100,"ACKERMAN, Gary Leonard","A000022","1942-11-19",11,11,21960,60.1232032854209,"Silent"
109,"2005-01-03","House","NY",100,"ACKERMAN, Gary Leonard","A000022","1942-11-19",12,12,22691,62.1245722108145,"Silent"
110,"2007-01-03","House","NY",100,"ACKERMAN, Gary Leonard","A000022","1942-11-19",13,13,23421,64.1232032854209,"Silent"
111,"2009-01-03","House","NY",100,"ACKERMAN, Gary Leonard","A000022","1942-11-19",14,14,24152,66.1245722108145,"Silent"
112,"2011-01-03","House","NY",100,"ACKERMAN, Gary Leonard","A000022","1942-11-19",15,15,24882,68.1232032854209,"Silent"
108,"2003-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",4,4,13679,37.45106091718,"Gen X"
109,"2005-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",5,5,14410,39.4524298425736,"Gen X"
110,"2007-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",6,6,15140,41.45106091718,"Gen X"
111,"2009-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",7,7,15871,43.4524298425736,"Gen X"
112,"2011-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",8,8,16601,45.45106091718,"Gen X"
113,"2013-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",9,9,17332,47.4524298425736,"Gen X"
114,"2015-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",10,10,18062,49.45106091718,"Gen X"
115,"2017-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",11,11,18793,51.4524298425736,"Gen X"
116,"2019-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",12,12,19523,53.45106091718,"Gen X"
117,"2021-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",13,13,20254,55.4524298425736,"Gen X"
118,"2023-01-03","House","AL",200,"ADERHOLT, Robert","A000055","1965-07-22",14,14,20984,57.45106091718,"Gen X"
108,"2003-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",14,7,28603,78.3107460643395,"Greatest"
109,"2005-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",15,8,29334,80.3121149897331,"Greatest"
110,"2007-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",16,9,30064,82.3107460643395,"Greatest"
111,"2009-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",17,10,30795,84.3121149897331,"Greatest"
112,"2011-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",18,11,31525,86.3107460643395,"Greatest"
108,"2003-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",7,4,21582,59.088295687885,"Silent"
109,"2005-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",8,5,22313,61.0896646132786,"Silent"
110,"2007-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",9,6,23043,63.088295687885,"Silent"
108,"2003-01-03","Senate","VA",200,"ALLEN, George","A000121","1952-03-08",3,2,18563,50.8227241615332,"Boomers"
109,"2005-01-03","Senate","VA",200,"ALLEN, George","A000121","1952-03-08",4,3,19294,52.8240930869268,"Boomers"
117,"2021-01-03","House","MA",100,"AUCHINCLOSS, Jake","A000148","1988-01-29",1,1,12028,32.9308692676249,"Millennial"
118,"2023-01-03","House","MA",100,"AUCHINCLOSS, Jake","A000148","1988-01-29",2,2,12758,34.9295003422313,"Millennial"
108,"2003-01-03","House","NJ",100,"ANDREWS, Robert Ernest","A000210","1957-08-04",8,8,16588,45.4154688569473,"Boomers"
109,"2005-01-03","House","NJ",100,"ANDREWS, Robert Ernest","A000210","1957-08-04",9,9,17319,47.4168377823409,"Boomers"
110,"2007-01-03","House","NJ",100,"ANDREWS, Robert Ernest","A000210","1957-08-04",10,10,18049,49.4154688569473,"Boomers"
111,"2009-01-03","House","NJ",100,"ANDREWS, Robert Ernest","A000210","1957-08-04",11,11,18780,51.4168377823409,"Boomers"
112,"2011-01-03","House","NJ",100,"ANDREWS, Robert Ernest","A000210","1957-08-04",12,12,19510,53.4154688569473,"Boomers"
113,"2013-01-03","House","NJ",100,"ANDREWS, Robert Ernest","A000210","1957-08-04",13,13,20241,55.4168377823409,"Boomers"
108,"2003-01-03","House","ME",100,"ALLEN, Thomas H.","A000357","1945-04-16",4,4,21081,57.7166324435318,"Silent"
109,"2005-01-03","House","ME",100,"ALLEN, Thomas H.","A000357","1945-04-16",5,5,21812,59.7180013689254,"Silent"
110,"2007-01-03","House","ME",100,"ALLEN, Thomas H.","A000357","1945-04-16",6,6,22542,61.7166324435318,"Silent"
108,"2003-01-03","House","MO",200,"AKIN, W. Todd","A000358","1947-07-05",2,2,20271,55.4989733059548,"Boomers"
109,"2005-01-03","House","MO",200,"AKIN, W. Todd","A000358","1947-07-05",3,3,21002,57.5003422313484,"Boomers"
110,"2007-01-03","House","MO",200,"AKIN, W. Todd","A000358","1947-07-05",4,4,21732,59.4989733059548,"Boomers"
111,"2009-01-03","House","MO",200,"AKIN, W. Todd","A000358","1947-07-05",5,5,22463,61.5003422313484,"Boomers"
112,"2011-01-03","House","MO",200,"AKIN, W. Todd","A000358","1947-07-05",6,6,23193,63.4989733059548,"Boomers"
108,"2003-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",1,1,22829,62.5023956194387,"Silent"
109,"2005-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",2,2,23560,64.5037645448323,"Silent"
110,"2007-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",3,3,24290,66.5023956194387,"Silent"
111,"2009-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",4,4,25021,68.5037645448323,"Silent"
112,"2011-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",5,5,25751,70.5023956194387,"Silent"
113,"2013-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",6,6,26482,72.5037645448323,"Silent"
114,"2015-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",7,7,27212,74.5023956194387,"Silent"
115,"2017-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",8,8,27943,76.5037645448323,"Silent"
116,"2019-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",9,9,28673,78.5023956194387,"Silent"
108,"2003-01-03","House","LA",100,"ALEXANDER, Rodney","A000361","1946-12-05",1,1,20483,56.0793976728268,"Boomers"
109,"2005-01-03","House","LA",200,"ALEXANDER, Rodney","A000361","1946-12-05",2,2,21214,58.0807665982204,"Boomers"
110,"2007-01-03","House","LA",200,"ALEXANDER, Rodney","A000361","1946-12-05",3,3,21944,60.0793976728268,"Boomers"
111,"2009-01-03","House","LA",200,"ALEXANDER, Rodney","A000361","1946-12-05",4,4,22675,62.0807665982204,"Boomers"
112,"2011-01-03","House","LA",200,"ALEXANDER, Rodney","A000361","1946-12-05",5,5,23405,64.0793976728268,"Boomers"
113,"2013-01-03","House","LA",200,"ALEXANDER, Rodney","A000361","1946-12-05",6,6,24136,66.0807665982204,"Boomers"
110,"2007-01-03","House","PA",100,"ALTMIRE, Jason","A000362","1968-03-07",1,1,14181,38.8254620123203,"Gen X"
111,"2009-01-03","House","PA",100,"ALTMIRE, Jason","A000362","1968-03-07",2,2,14912,40.8268309377139,"Gen X"
112,"2011-01-03","House","PA",100,"ALTMIRE, Jason","A000362","1968-03-07",3,3,15642,42.8254620123203,"Gen X"
110,"2007-01-03","House","NY",100,"ARCURI, Michael","A000363","1959-06-11",1,1,17373,47.564681724846,"Boomers"
111,"2009-01-03","House","NY",100,"ARCURI, Michael","A000363","1959-06-11",2,2,18104,49.5660506502396,"Boomers"
111,"2009-01-03","House","NJ",100,"ADLER, John H.","A000364","1959-08-23",1,1,18031,49.3661875427789,"Boomers"
111,"2009-01-03","House","OH",200,"AUSTRIA, Steve","A000365","1958-10-12",1,1,18346,50.2286105407255,"Boomers"
112,"2011-01-03","House","OH",200,"AUSTRIA, Steve","A000365","1958-10-12",2,2,19076,52.227241615332,"Boomers"
112,"2011-01-03","House","FL",200,"ADAMS, Sandra (Sandy)","A000366","1956-12-14",1,1,19743,54.0533880903491,"Boomers"
112,"2011-01-03","House","MI",200,"AMASH, Justin","A000367","1980-04-18",1,1,11217,30.7104722792608,"Gen X"
113,"2013-01-03","House","MI",200,"AMASH, Justin","A000367","1980-04-18",2,2,11948,32.7118412046543,"Gen X"
114,"2015-01-03","House","MI",200,"AMASH, Justin","A000367","1980-04-18",3,3,12678,34.7104722792608,"Gen X"
115,"2017-01-03","House","MI",200,"AMASH, Justin","A000367","1980-04-18",4,4,13409,36.7118412046543,"Gen X"
116,"2019-01-03","House","MI",328,"AMASH, Justin","A000367","1980-04-18",5,5,14139,38.7104722792608,"Gen X"
112,"2011-01-03","Senate","NH",200,"AYOTTE, Kelly","A000368","1968-06-27",1,1,15530,42.5188227241615,"Gen X"
113,"2013-01-03","Senate","NH",200,"AYOTTE, Kelly","A000368","1968-06-27",2,2,16261,44.5201916495551,"Gen X"
114,"2015-01-03","Senate","NH",200,"AYOTTE, Kelly","A000368","1968-06-27",3,3,16991,46.5188227241615,"Gen X"
112,"2011-01-03","House","NV",200,"AMODEI, Mark E.","A000369","1958-06-12",1,1,19198,52.5612594113621,"Boomers"
113,"2013-01-03","House","NV",200,"AMODEI, Mark E.","A000369","1958-06-12",2,2,19929,54.5626283367556,"Boomers"
114,"2015-01-03","House","NV",200,"AMODEI, Mark E.","A000369","1958-06-12",3,3,20659,56.5612594113621,"Boomers"
115,"2017-01-03","House","NV",200,"AMODEI, Mark E.","A000369","1958-06-12",4,4,21390,58.5626283367556,"Boomers"
116,"2019-01-03","House","NV",200,"AMODEI, Mark E.","A000369","1958-06-12",5,5,22120,60.5612594113621,"Boomers"
117,"2021-01-03","House","NV",200,"AMODEI, Mark E.","A000369","1958-06-12",6,6,22851,62.5626283367556,"Boomers"
118,"2023-01-03","House","NV",200,"AMODEI, Mark E.","A000369","1958-06-12",7,7,23581,64.5612594113621,"Boomers"
113,"2013-01-03","House","NC",100,"ADAMS, Alma","A000370","1946-05-27",1,1,24328,66.6064339493498,"Boomers"
114,"2015-01-03","House","NC",100,"ADAMS, Alma","A000370","1946-05-27",2,2,25058,68.6050650239562,"Boomers"
115,"2017-01-03","House","NC",100,"ADAMS, Alma","A000370","1946-05-27",3,3,25789,70.6064339493498,"Boomers"
116,"2019-01-03","House","NC",100,"ADAMS, Alma","A000370","1946-05-27",4,4,26519,72.6050650239562,"Boomers"
117,"2021-01-03","House","NC",100,"ADAMS, Alma","A000370","1946-05-27",5,5,27250,74.6064339493498,"Boomers"
118,"2023-01-03","House","NC",100,"ADAMS, Alma","A000370","1946-05-27",6,6,27980,76.6050650239562,"Boomers"
114,"2015-01-03","House","CA",100,"AGUILAR, Peter Rey","A000371","1979-06-19",1,1,12982,35.5427789185489,"Gen X"
115,"2017-01-03","House","CA",100,"AGUILAR, Peter Rey","A000371","1979-06-19",2,2,13713,37.5441478439425,"Gen X"
116,"2019-01-03","House","CA",100,"AGUILAR, Peter Rey","A000371","1979-06-19",3,3,14443,39.5427789185489,"Gen X"
117,"2021-01-03","House","CA",100,"AGUILAR, Peter Rey","A000371","1979-06-19",4,4,15174,41.5441478439425,"Gen X"
118,"2023-01-03","House","CA",100,"AGUILAR, Peter Rey","A000371","1979-06-19",5,5,15904,43.5427789185489,"Gen X"
114,"2015-01-03","House","GA",200,"ALLEN, Rick W.","A000372","1951-11-07",1,1,23068,63.1567419575633,"Boomers"
115,"2017-01-03","House","GA",200,"ALLEN, Rick W.","A000372","1951-11-07",2,2,23799,65.1581108829569,"Boomers"
116,"2019-01-03","House","GA",200,"ALLEN, Rick W.","A000372","1951-11-07",3,3,24529,67.1567419575633,"Boomers"
117,"2021-01-03","House","GA",200,"ALLEN, Rick W.","A000372","1951-11-07",4,4,25260,69.1581108829569,"Boomers"
118,"2023-01-03","House","GA",200,"ALLEN, Rick W.","A000372","1951-11-07",5,5,25990,71.1567419575633,"Boomers"
114,"2015-01-03","House","NE",100,"ASHFORD, John Bradley","A000373","1949-11-10",1,1,23795,65.1471594798084,"Boomers"
114,"2015-01-03","House","LA",200,"ABRAHAM, Ralph","A000374","1954-09-16",1,1,22024,60.2984257357974,"Boomers"
115,"2017-01-03","House","LA",200,"ABRAHAM, Ralph","A000374","1954-09-16",2,2,22755,62.299794661191,"Boomers"
116,"2019-01-03","House","LA",200,"ABRAHAM, Ralph","A000374","1954-09-16",3,3,23485,64.2984257357974,"Boomers"
115,"2017-01-03","House","TX",200,"ARRINGTON, Jodey Cook","A000375","1972-03-09",1,1,16371,44.8213552361396,"Gen X"
116,"2019-01-03","House","TX",200,"ARRINGTON, Jodey Cook","A000375","1972-03-09",2,2,17101,46.8199863107461,"Gen X"
117,"2021-01-03","House","TX",200,"ARRINGTON, Jodey Cook","A000375","1972-03-09",3,3,17832,48.8213552361396,"Gen X"
118,"2023-01-03","House","TX",200,"ARRINGTON, Jodey Cook","A000375","1972-03-09",4,4,18562,50.8199863107461,"Gen X"
116,"2019-01-03","House","TX",100,"ALLRED, Colin","A000376","1983-04-15",1,1,13047,35.7207392197125,"Millennial"
117,"2021-01-03","House","TX",100,"ALLRED, Colin","A000376","1983-04-15",2,2,13778,37.7221081451061,"Millennial"
118,"2023-01-03","House","TX",100,"ALLRED, Colin","A000376","1983-04-15",3,3,14508,39.7207392197125,"Millennial"
116,"2019-01-03","House","ND",200,"ARMSTRONG, Kelly","A000377","1976-10-08",1,1,15427,42.2368240930869,"Gen X"
117,"2021-01-03","House","ND",200,"ARMSTRONG, Kelly","A000377","1976-10-08",2,2,16158,44.2381930184805,"Gen X"
118,"2023-01-03","House","ND",200,"ARMSTRONG, Kelly","A000377","1976-10-08",3,3,16888,46.2368240930869,"Gen X"
116,"2019-01-03","House","IA",100,"AXNE, Cynthia","A000378","1965-04-20",1,1,19616,53.7056810403833,"Gen X"
117,"2021-01-03","House","IA",100,"AXNE, Cynthia","A000378","1965-04-20",2,2,20347,55.7070499657769,"Gen X"
118,"2023-01-03","House","MO",200,"ALFORD, Mark","A000379","1963-10-04",1,1,21641,59.2498288843258,"Boomers"
108,"2003-01-03","House","AL",200,"BACHUS, Spencer T., III","B000013","1947-12-28",6,6,20095,55.0171115674196,"Boomers"
109,"2005-01-03","House","AL",200,"BACHUS, Spencer T., III","B000013","1947-12-28",7,7,20826,57.0184804928131,"Boomers"
110,"2007-01-03","House","AL",200,"BACHUS, Spencer T., III","B000013","1947-12-28",8,8,21556,59.0171115674196,"Boomers"
111,"2009-01-03","House","AL",200,"BACHUS, Spencer T., III","B000013","1947-12-28",9,9,22287,61.0184804928131,"Boomers"
112,"2011-01-03","House","AL",200,"BACHUS, Spencer T., III","B000013","1947-12-28",10,10,23017,63.0171115674196,"Boomers"
113,"2013-01-03","House","AL",200,"BACHUS, Spencer T., III","B000013","1947-12-28",11,11,23748,65.0184804928131,"Boomers"
108,"2003-01-03","House","LA",200,"BAKER, Richard Hugh","B000072","1948-05-22",9,9,19949,54.6173853524983,"Boomers"
109,"2005-01-03","House","LA",200,"BAKER, Richard Hugh","B000072","1948-05-22",10,10,20680,56.6187542778919,"Boomers"
110,"2007-01-03","House","LA",200,"BAKER, Richard Hugh","B000072","1948-05-22",11,11,21410,58.6173853524983,"Boomers"
108,"2003-01-03","House","NC",200,"BALLENGER, Cass","B000104","1926-12-06",10,10,27787,76.0766598220397,"Greatest"
108,"2003-01-03","House","MD",200,"BARTLETT, Roscoe Gardner","B000208","1926-06-03",6,6,27973,76.5859000684463,"Greatest"
109,"2005-01-03","House","MD",200,"BARTLETT, Roscoe Gardner","B000208","1926-06-03",7,7,28704,78.5872689938398,"Greatest"
110,"2007-01-03","House","MD",200,"BARTLETT, Roscoe Gardner","B000208","1926-06-03",8,8,29434,80.5859000684463,"Greatest"
111,"2009-01-03","House","MD",200,"BARTLETT, Roscoe Gardner","B000208","1926-06-03",9,9,30165,82.5872689938398,"Greatest"
112,"2011-01-03","House","MD",200,"BARTLETT, Roscoe Gardner","B000208","1926-06-03",10,10,30895,84.5859000684463,"Greatest"
108,"2003-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",10,10,19468,53.3004791238877,"Boomers"
109,"2005-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",11,11,20199,55.3018480492813,"Boomers"
110,"2007-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",12,12,20929,57.3004791238877,"Boomers"
111,"2009-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",13,13,21660,59.3018480492813,"Boomers"
112,"2011-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",14,14,22390,61.3004791238877,"Boomers"
113,"2013-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",15,15,23121,63.3018480492813,"Boomers"
114,"2015-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",16,16,23851,65.3004791238878,"Boomers"
115,"2017-01-03","House","TX",200,"BARTON, Joe Linus","B000213","1949-09-15",17,17,24582,67.3018480492813,"Boomers"
108,"2003-01-03","House","NH",200,"BASS, Charles Foster","B000220","1952-01-08",5,5,18623,50.9869952087611,"Boomers"
109,"2005-01-03","House","NH",200,"BASS, Charles Foster","B000220","1952-01-08",6,6,19354,52.9883641341547,"Boomers"
