"player_name","player_id","season","season_type","team","poss","mp","raptor_total","raptor_offense","raptor_defense","war_total","war_reg_season","war_playoffs","pace_impact"
"Alex Abrines","abrinal01",2017,"RS","OKC",2215,1055,-0.06930043,0.654933004,-0.724233435,1.447708122,1.447708122,0,0.325770826
"Alex Abrines","abrinal01",2018,"PO","OKC",233,110,2.615449663,1.875157326,0.740292337,0.311392309,0,0.311392309,0.260479313
"Alex Abrines","abrinal01",2018,"RS","OKC",2313,1134,-1.940401295,-0.211817699,-1.728583596,0.465912151,0.465912151,0,-0.528329896
"Alex Abrines","abrinal01",2019,"RS","OKC",1279,588,-2.154538232,-4.040156587,1.885618356,0.17816732,0.17816732,0,-0.268013102
"Precious Achiuwa","achiupr01",2021,"RS","MIA",1557,737,-3.40439598293834,-4.11365954381496,0.709263560876618,-0.246776389014176,-0.246776389014176,0,0.292226575506324
"Precious Achiuwa","achiupr01",2022,"PO","TOR",320,167,-3.28619146578084,-2.53112953542952,-0.755061930351325,-0.0469529227974898,0,-0.0469529227974898,-0.340792956620657
"Precious Achiuwa","achiupr01",2022,"RS","TOR",3482,1725,-0.105515482592397,-2.51610809205223,2.41059260945983,2.30961096857707,2.30961096857707,0,-0.764250307803556
"Quincy Acy","acyqu01",2014,"RS","SAC",1591,786,-1.813360935,-1.640825493,-0.172535442,0.373285534,0.373285534,0,-0.593157921
"Quincy Acy","acyqu01",2015,"RS","NYK",2517,1287,-2.877012641,-2.456064586,-0.420948055,-0.083312615,-0.083312615,0,-0.100453505
"Quincy Acy","acyqu01",2016,"RS","SAC",1852,876,-0.233607091,-0.58754047,0.353933379,1.123479142,1.123479142,0,-0.102988345
"Quincy Acy","acyqu01",2017,"RS","BRK",1075,510,0.938548064,0.170960999,0.767587065,0.96078755,0.96078755,0,0.104243234
"Quincy Acy","acyqu01",2018,"RS","BRK",2856,1359,-2.866996621,-2.208182427,-0.658814194,-0.08123232,-0.08123232,0,0.136139262
"Quincy Acy","acyqu01",2019,"RS","PHO",278,123,-0.612733231,-5.581744442,4.969011211,0.135231411,0.135231411,0,0.841980786
"Jaylen Adams","adamsja01",2019,"RS","ATL",952,428,-6.112373059,-2.377643964,-3.734729095,-0.733513242,-0.733513242,0,-0.099018214
"Jordan Adams","adamsjo01",2015,"RS","MEM",498,248,1.890791657,1.793313028,0.097478629,0.591480559,0.591480559,0,0.699459328
"Steven Adams","adamsst01",2014,"PO","OKC",658,331,-4.748078842,-3.068970945,-1.679107897,-0.345893247,0,-0.345893247,-0.564429685
"Steven Adams","adamsst01",2014,"RS","OKC",2420,1197,-0.969700279,-1.04453291,0.074832631,1.087876915,1.087876915,0,0.055678168
"Steven Adams","adamsst01",2015,"RS","OKC",3537,1771,0.112691438,-1.859905727,1.972597164,2.569431836,2.569431836,0,-0.637424446
"Steven Adams","adamsst01",2016,"PO","OKC",1093,553,3.599458916,3.712568575,-0.113109659,1.812062468,0,1.812062468,-1.830245596
"Steven Adams","adamsst01",2016,"RS","OKC",4110,2014,5.958506315,0.664776604,5.293729711,8.899270344,8.899270344,0,-0.53605482
"Steven Adams","adamsst01",2017,"PO","OKC",329,157,4.917766891,0.096087917,4.821678975,0.632146706,0,0.632146706,-0.20029471
