"player_ID","Player","year_ID","Age","Tm","tm_gms","Tm_Net_Rtg","Pos","G","MP","MP_pct","PER","TS_pct","ThrPAr","FTr","ORB_pct","TRB_pct","AST_pct","STL_pct","BLK_pct","TOV_pct","USG_pct","OWS","DWS","WS","WS40","Composite_Rating","Wins_Generated"
"montgre01w","Renee Montgomery",2019,32,"ATL",34,-9.8,"G",34,949,"69.5%",11.1,0.52,0.727,0.176,1,4.1,18,1.7,0.5,16.8,17.5,0.4,0.5,0.9,0.039,-2.4,1.22
"williel01w","Elizabeth Williams",2019,26,"ATL",34,-9.8,"C-F",32,909,"66.6%",16.7,0.521,0,0.477,11.4,12.1,7.8,1.4,4.7,12.9,15.9,1.6,1,2.7,0.117,0.6,2.51
"sykesbr01w","Brittney Sykes",2019,25,"ATL",34,-9.8,"G",34,880,"64.5%",11.3,0.445,0.308,0.259,3,9.1,19.6,1.2,1.5,14.8,23.1,-0.8,0.8,0,-0.001,-3.4,0.7
"hayesti01w","Tiffany Hayes",2019,29,"ATL",34,-9.8,"G",29,817,"59.9%",15.1,0.497,0.313,0.34,2.7,5.7,21.9,1.8,0.8,14,27.1,0.5,0.6,1,0.05,-1.5,1.45
"brelaje01w","Jessica Breland",2019,31,"ATL",34,-9.8,"F",33,767,"56.2%",15.2,0.425,0.138,0.12,5.7,16.6,14.2,2.8,3.6,11.6,18.9,-0.4,1.9,1.5,0.076,-0.8,1.62
"bentlal01w","Alex Bentley",2019,28,"ATL",34,-9.8,"G",29,634,"46.4%",8.8,0.384,0.421,0.108,1.6,4.5,28.1,1.7,1.1,11.5,26.7,-1.4,0.4,-1,-0.063,-5.5,-0.14
"billimo01w","Monique Billings",2019,23,"ATL",34,-9.8,"F",29,553,"40.5%",11.7,0.469,0.007,0.417,11.5,19.3,5.4,1.6,1.7,21.3,17.3,-0.3,1,0.7,0.049,-2.1,0.81
"cazorma01w","Maite Cazorla",2019,22,"ATL",34,-9.8,"G",31,477,"34.9%",6.4,0.444,0.591,0.258,0.4,2.3,17.8,1.9,0.2,21.9,12.3,-0.4,0.2,-0.2,-0.014,-4.6,0.1
"coffeni01w","Nia Coffey",2019,24,"ATL",34,-9.8,"F",28,389,"28.5%",10.1,0.441,0.417,0.302,6.2,10.6,6,1.9,2.7,11.8,20.3,-0.3,0.5,0.2,0.02,-3.1,0.37
"gulima01w","Marie Gulich",2019,25,"ATL",34,-9.8,"C",31,349,"25.6%",8.8,0.433,0.231,0.204,10.5,12.9,10.3,0.7,5.5,21.4,19,-0.5,0.4,-0.1,-0.015,-4.2,0.14
"deshidi01w","Diamond DeShields",2019,24,"CHI",34,1.6,"G",34,1027,"75.2%",16.2,0.508,0.328,0.291,3.4,10.2,13.4,2.1,1,12,26.1,1.2,1.2,2.4,0.094,0.1,2.61
