"district_name","district_code","school_name","school_code","school_type","teachers_included","enrollment_k12_2122","frpm_k12_2122","mean_exp_years"
"Anaheim Elementary",66423,"Anaheim Elementary Online Academy",140236,"Elementary Schools (Public)",23,"393","60.60%",15.9565217391304
"Anaheim Elementary",66423,"Barton (Clara) Elementary",6027288,"Elementary Schools (Public)",37,"625","80.30%",20.9054054054054
"Anaheim Elementary",66423,"Edison (Thomas) Elementary",6027429,"Elementary Schools (Public)",51,"782","77.90%",14.343137254902
"Anaheim Elementary",66423,"Franklin (Benjamin) Elementary",6027262,"Elementary Schools (Public)",35,"624","74.20%",19.0857142857143
"Anaheim Elementary",66423,"Gauer (Melbourne A.) Elementary",6027361,"Elementary Schools (Public)",32,"510","72.50%",18.78125
"Anaheim Elementary",66423,"Guinn (James M.) Elementary",6027320,"Elementary Schools (Public)",37,"592","77.20%",15.8513513513514
"Anaheim Elementary",66423,"Henry (Patrick) Elementary",6027387,"Elementary Schools (Public)",28,"436","83.50%",16.6785714285714
"Anaheim Elementary",66423,"Jefferson (Thomas) Elementary",6027437,"Elementary Schools (Public)",30,"494","74.90%",15.9333333333333
"Anaheim Elementary",66423,"Juarez (Benito) Elementary",6027254,"Elementary Schools (Public)",42,"705","62.30%",14.9880952380952
"Anaheim Elementary",66423,"Lincoln (Abraham) Elementary",6027221,"Elementary Schools (Public)",50,"872","81.70%",14.5
"Anaheim Elementary",66423,"Loara Elementary",6027353,"Elementary Schools (Public)",30,"496","76.60%",17.2666666666667
"Anaheim Elementary",66423,"Madison (James) Elementary",6027338,"Elementary Schools (Public)",31,"514","78.80%",15.7258064516129
"Anaheim Elementary",66423,"Mann (Horace) Elementary",6027312,"Elementary Schools (Public)",47,"723","80.10%",14.8191489361702
"Anaheim Elementary",66423,"Marshall (John) Elementary",6027346,"Elementary Schools (Public)",44,"699","70.80%",15.9659090909091
"Anaheim Elementary",66423,"Olive Street Elementary",6113393,"Elementary Schools (Public)",34,"458","90.00%",15.8382352941176
"Anaheim Elementary",66423,"Orange Grove Elementary",113712,"Elementary Schools (Public)",36,"577","80.10%",13.4166666666667
"Anaheim Elementary",66423,"Ponderosa Elementary",121053,"Elementary Schools (Public)",52,"850","79.40%",12
"Anaheim Elementary",66423,"Price (Adelaide) Elementary",6027239,"Elementary Schools (Public)",34,"599","65.30%",12.7058823529412
"Anaheim Elementary",66423,"Revere (Paul) Elementary",6027395,"Elementary Schools (Public)",45,"689","77.80%",17.9222222222222
"Anaheim Elementary",66423,"Roosevelt (Theodore) Elementary",6027411,"Elementary Schools (Public)",33,"461","69.40%",16.4393939393939
"Anaheim Elementary",66423,"Ross (Betsy) Elementary",6027270,"Elementary Schools (Public)",63,"895","76.60%",13.1428571428571
