"date","county","hospitalized_covid_confirmed_patients","hospitalized_suspected_covid_patients","hospitalized_covid_patients","all_hospital_beds","icu_covid_confirmed_patients","icu_suspected_covid_patients","icu_available_beds"
2020-03-01,"Alameda",151,274,0,NA,74,51,342
2020-03-01,"Amador",1,1,0,NA,0,0,10
2020-03-01,"Butte",8,32,0,NA,4,NA,7
2020-03-01,"Calaveras",0,4,0,NA,0,NA,9
2020-03-01,"Colusa",0,2,0,NA,0,NA,10
2020-03-01,"Contra Costa",75,170,0,NA,30,31,220
2020-03-01,"Del Norte",1,8,0,NA,0,0,11
2020-03-01,"El Dorado",10,32,0,NA,0,18,27
2020-03-01,"Fresno",48,478,0,NA,10,47,69
2020-03-01,"Glenn",0,0,0,NA,0,NA,0
2020-03-01,"Humboldt",3,29,0,NA,0,4,36
2020-03-01,"Imperial",37,315,0,NA,8,11,13
2020-03-01,"Inyo",0,83,0,NA,0,NA,6
2020-03-01,"Kern",48,243,0,NA,20,22,136
2020-03-01,"Kings",5,20,0,NA,3,4,6
2020-03-01,"Lake",0,6,0,NA,0,4,8
2020-03-01,"Lassen",0,13,0,NA,0,0,0
2020-03-01,"Los Angeles",1844,3680,0,NA,769,671,1282
2020-03-01,"Madera",3,14,0,NA,3,4,17
2020-03-01,"Marin",26,36,0,NA,10,10,42
2020-03-01,"Mariposa",0,0,0,NA,0,0,0
2020-03-01,"Mendocino",3,23,0,NA,0,1,16
2020-03-01,"Merced",5,27,0,NA,0,4,24
2020-03-01,"Modoc",0,50,0,NA,0,0,0
2020-03-01,"Mono",0,3,0,NA,0,0,6
2020-03-01,"Monterey",24,47,0,NA,9,4,44
2020-03-01,"Napa",4,39,0,NA,2,NA,26
2020-03-01,"Nevada",85,57,0,NA,5,6,12
2020-03-01,"Orange",281,667,0,NA,120,148,400
2020-03-01,"Placer",55,60,0,NA,15,2,67
2020-03-01,"Plumas",0,2,0,NA,0,1,0
2020-03-01,"Riverside",207,396,0,NA,70,116,198
2020-03-01,"Sacramento",136,234,0,NA,53,74,180
2020-03-01,"San Benito",3,2,0,NA,3,0,3
2020-03-01,"San Bernardino",182,533,0,NA,79,101,194
2020-03-01,"San Diego",431,1095,0,NA,226,109,650
2020-03-01,"San Francisco",192,262,0,NA,79,35,242
2020-03-01,"San Joaquin",106,119,0,NA,27,11,88
2020-03-01,"San Luis Obispo",19,38,0,NA,9,14,2860
2020-03-01,"San Mateo",162,90,0,NA,52,26,112
2020-03-01,"Santa Barbara",53,75,0,NA,34,17,143
2020-03-01,"Santa Clara",449,263,0,NA,212,55,265
2020-03-01,"Santa Cruz",2,20,0,NA,2,4,12
2020-03-01,"Shasta",2,9,0,NA,1,0,17
2020-03-01,"Siskiyou",0,0,0,NA,0,0,9
2020-03-01,"Solano",37,58,0,NA,16,6,117
2020-03-01,"Sonoma",22,60,0,NA,8,12,62
2020-03-01,"Stanislaus",57,130,0,NA,27,14,88
2020-03-01,"Sutter",0,0,0,NA,0,0,0
2020-03-01,"Tehama",0,4,0,NA,0,0,8
2020-03-01,"Trinity",0,0,0,NA,0,0,0
2020-03-01,"Tulare",18,54,0,NA,14,14,25
2020-03-01,"Tuolumne",2,44,0,NA,0,0,7
2020-03-01,"Ventura",74,276,0,NA,15,76,43
2020-03-01,"Yolo",7,7,0,NA,4,5,1
2020-03-01,"Yuba",7,50,0,NA,6,12,18
2020-04-01,"Alameda",2365,2212,1398,NA,1134,444,3130
2020-04-01,"Amador",0,10,4,NA,0,1,96
2020-04-01,"Butte",34,243,11,NA,18,84,336
2020-04-01,"Calaveras",0,22,6,NA,0,9,290
2020-04-01,"Colusa",15,7,13,NA,13,8,155
2020-04-01,"Contra Costa",985,1310,752,NA,406,294,2629
2020-04-01,"Del Norte",0,83,36,NA,0,23,93
2020-04-01,"El Dorado",236,154,66,NA,1,48,317
2020-04-01,"Fresno",864,1568,810,NA,373,222,1700
2020-04-01,"Glenn",0,0,0,NA,0,0,0
2020-04-01,"Humboldt",30,168,50,NA,6,31,172
2020-04-01,"Imperial",558,291,333,NA,253,52,93
2020-04-01,"Inyo",147,1900,10,NA,18,10,126
2020-04-01,"Kern",940,928,477,NA,492,131,1427
2020-04-01,"Kings",190,53,93,NA,63,5,91
2020-04-01,"Lake",4,57,17,NA,0,18,79
2020-04-01,"Lassen",0,62,2,NA,0,0,0
2020-04-01,"Los Angeles",46061,23477,24668,NA,16427,4122,23702
2020-04-01,"Madera",3,118,23,NA,2,18,307
2020-04-01,"Marin",118,337,104,NA,61,67,443
2020-04-01,"Mariposa",0,33,7,NA,0,0,0
2020-04-01,"Mendocino",7,25,4,NA,3,10,227
2020-04-01,"Merced",52,126,49,NA,6,37,151
2020-04-01,"Modoc",0,10,2,NA,0,0,0
2020-04-01,"Mono",153,46,0,NA,0,0,58
2020-04-01,"Monterey",426,406,103,NA,105,38,1514
2020-04-01,"Napa",17,76,15,NA,9,14,241
2020-04-01,"Nevada",123,206,31,NA,36,52,133
2020-04-01,"Orange",4793,4012,2989,NA,1983,820,7461
2020-04-01,"Placer",400,523,266,NA,132,70,901
2020-04-01,"Plumas",0,7,0,NA,0,0,0
2020-04-01,"Riverside",5886,4353,3462,NA,1958,1051,4573
2020-04-01,"Sacramento",1845,1626,842,NA,693,382,2593
2020-04-01,"San Benito",32,15,2,NA,17,0,38
2020-04-01,"San Bernardino",4450,4971,2726,NA,1672,1045,3901
2020-04-01,"San Diego",6891,3949,3439,NA,2919,631,7224
2020-04-01,"San Francisco",2402,1382,1007,NA,908,231,2528
2020-04-01,"San Joaquin",836,703,481,NA,385,153,702
2020-04-01,"San Luis Obispo",75,204,63,NA,67,97,4564
2020-04-01,"San Mateo",1669,563,684,NA,562,95,1065
2020-04-01,"Santa Barbara",950,440,371,NA,497,88,1934
2020-04-01,"Santa Clara",4313,1557,1635,NA,1975,303,3666
2020-04-01,"Santa Cruz",102,152,46,NA,66,47,222
2020-04-01,"Shasta",72,82,15,NA,46,15,362
2020-04-01,"Siskiyou",2,43,12,NA,0,24,123
2020-04-01,"Solano",357,468,254,NA,172,115,1067
2020-04-01,"Sonoma",115,441,161,NA,29,110,967
2020-04-01,"Stanislaus",687,775,463,NA,241,143,1495
2020-04-01,"Sutter",0,0,0,NA,0,NA,0
2020-04-01,"Tehama",0,15,2,NA,0,5,146
2020-04-01,"Trinity",0,0,0,NA,0,0,0
2020-04-01,"Tulare",561,204,593,NA,199,40,496
2020-04-01,"Tuolumne",0,5,2,NA,0,3,66
2020-04-01,"Ventura",729,1858,760,NA,241,357,1039
2020-04-01,"Yolo",88,54,27,NA,38,29,315
2020-04-01,"Yuba",24,218,13,NA,18,55,237
2020-05-01,"Alameda",2568,2113,4681,80318,1159,414,3969
2020-05-01,"Amador",0,3,3,NA,0,1,52
2020-05-01,"Butte",90,27,117,13816,33,8,620
2020-05-01,"Calaveras",4,13,17,1550,4,8,316
