"year","category","reason","count","avg_days","total_days","log_total_days","longest_closure"
2002,"Infrastructure","Facilities Issues",27,1.92592592592593,52,3.95124371858143,5
2002,"Infrastructure","Power Outage",194,1.4020618556701,272,5.605802066296,6
2002,"Infrastructure","Road Closures",1,1,1,0,1
2002,"Natural Disasters & Weather","Inclement Weather",307,1.49837133550489,460,6.13122648948314,5
2002,"Student Safety","Fires & Explosions",1,1,1,0,1
2002,"Wildfires","Other Wildfires",2,3.5,7,1.94591014905531,6
2003,"Infrastructure","Facilities Issues",12,1.08333333333333,13,2.56494935746154,2
2003,"Infrastructure","Power Outage",57,1.21052631578947,69,4.23410650459726,3
2003,"Natural Disasters & Weather","Inclement Weather",98,1.31632653061224,129,4.85981240436167,5
2003,"Other","Other Reasons",1,1,1,0,1
2003,"Student Safety","Dangerous Contamination",3,2.66666666666667,8,2.07944154167984,4
2003,"Student Safety","Fires & Explosions",3,1,3,1.09861228866811,1
2003,"Student Safety","Gas Leak",1,2,2,0.693147180559945,2
2003,"Student Safety","Police Activity",2,1,2,0.693147180559945,1
2003,"Student Safety","Threat of Violence",6,1,6,1.79175946922805,1
2003,"Wildfires","2003 Southern California Fires",1024,4.1201171875,4219,8.34735341212434,13
2003,"Wildfires","Canoe Fire 2003",16,3.8125,61,4.11087386417331,6
2004,"Infrastructure","Facilities Issues",10,1.3,13,2.56494935746154,4
2004,"Infrastructure","Power Outage",20,1,20,2.99573227355399,1
2004,"Natural Disasters & Weather","2011 California Windstorm",1,1,1,0,1
2004,"Natural Disasters & Weather","Earthquake",1,32,32,3.46573590279973,32
2004,"Natural Disasters & Weather","Inclement Weather",79,1.70886075949367,135,4.90527477843843,3
2004,"Student Safety","Dangerous Contamination",1,6,6,1.79175946922805,6
2004,"Student Safety","Fires & Explosions",3,1,3,1.09861228866811,1
2004,"Student Safety","Gas Leak",3,1,3,1.09861228866811,1
2004,"Student Safety","Other Safety Risks",1,2,2,0.693147180559945,2
2004,"Student Safety","Police Activity",4,1,4,1.38629436111989,1
2004,"Student Safety","Threat of Violence",7,1,7,1.94591014905531,1
2004,"Wildfires","Other Wildfires",14,1.71428571428571,24,3.17805383034795,2
2005,"Infrastructure","Facilities Issues",19,1.21052631578947,23,3.13549421592915,2
2005,"Infrastructure","Power Outage",31,1,31,3.43398720448515,1
2005,"Natural Disasters & Weather","Inclement Weather",284,1.86619718309859,530,6.27287700654617,5
2005,"Other","Other Reasons",6,1,6,1.79175946922805,1
2005,"Student Safety","Dangerous Contamination",3,1.66666666666667,5,1.6094379124341,3
2005,"Student Safety","Gas Leak",3,2,6,1.79175946922805,4
2005,"Student Safety","Other Safety Risks",2,1.5,3,1.09861228866811,2
2005,"Student Safety","Police Activity",1,1,1,0,1
2005,"Student Safety","Threat of Violence",1,1,1,0,1
2005,"Wildfires","2005 Southern California Fires",32,1.75,56,4.02535169073515,2
2006,"Infrastructure","Facilities Issues",25,1.56,39,3.66356164612965,5
2006,"Infrastructure","Power Outage",27,1.03703703703704,28,3.3322045101752,2
2006,"Infrastructure","Road Closures",12,1.25,15,2.70805020110221,2
2006,"Natural Disasters & Weather","Inclement Weather",344,1.4796511627907,509,6.23244801655052,6
