"player_ID","Player","year","Age","Team","Games","Position","Minutes","True_Shooting_Pct"
"nolande01w","Deanna Nolan",2007,27,"DET",34,"G-F",1175,0.537
"mosquka01w","Kaleena Mosqueda-Lewis",2016,22,"SEA",32,"F",395,0.525
"johnsvi01w","Vickie Johnson",1998,26,"NYL",30,"G-F",905,0.518
"hammobe01w","Becky Hammon",2005,28,"NYL",34,"G",1165,0.601
"willina01w","Natalie Williams",2002,31,"UTA",31,"C",1008,0.512
"penicti01w","Ticha Penicheiro",1999,24,"SAC",32,"G",1120,0.42
"larkier01w","Erlana Larkins",2008,22,"NYL",27,"F",335,0.544
"braxtka01w","Kara Braxton",2007,24,"DET",31,"C-F",545,0.485
"douglka01w","Katie Douglas",2002,23,"ORL",32,"G-F",830,0.578
"robinda01w","Danielle Robinson",2011,22,"SAS",34,"G",786,0.551
